id,name,type,category,stage,company,mechanism,focus
milvexian,Milvexian,Drug,Stroke Prevention - FXI Inhibitors,Phase 3,BMS / Johnson & Johnson,Oral Factor XIa inhibitor,Stroke prevention in AF and secondary stroke prevention
asundexian,Asundexian,Drug,Stroke Prevention - FXI Inhibitors,Phase 3,Bayer,Oral Factor XIa inhibitor,Secondary stroke prevention; AF program stopped
abelacimab,Abelacimab (MAA868),Drug,Stroke Prevention - FXI Inhibitors,Phase 3,Novartis / Anthos Therapeutics,Monoclonal antibody targeting FXI/FXIa,Stroke and systemic embolism prevention in AF
shr-2004,SHR-2004,Drug,Stroke Prevention - FXI Inhibitors,Phase 1b,Jiangsu Hengrui,Humanized monoclonal antibody targeting Factor XI,Anticoagulation in AF with reduced bleeding risk
regn7508,REGN7508,Drug,Stroke Prevention - FXI Inhibitors,Phase 2 (AF); Phase 3 in VTE,Regeneron,Monoclonal antibody targeting FXI catalytic domain,Anticoagulation with reduced bleeding risk; AF stroke prevention program planned
regn9933,REGN9933,Drug,Stroke Prevention - FXI Inhibitors,Phase 2 (AF); Phase 2 completed in VTE,Regeneron,Monoclonal antibody targeting FXI A2 domain,Anticoagulation for patients with higher bleeding risk; AF safety program
srsd107,SRSD107,Drug,Stroke Prevention - FXI Inhibitors,Phase 2,Sirius Therapeutics / CRISPR Therapeutics,Long-acting FXI siRNA,Thromboembolic disorders including AF stroke prevention
apixaban,Apixaban (Eliquis),Drug,Stroke Prevention - Anticoagulants,Approved,BMS / Pfizer,Direct oral anticoagulant (Factor Xa inhibitor),Stroke prevention in AF
bay-3670549,BAY 3670549,Drug,Rhythm Control - Antiarrhythmic Drugs,Phase 1,Bayer,Selective GIRK4 inhibitor,Rapid pharmacologic cardioversion in AF
rivaroxaban,Rivaroxaban (Xarelto),Drug,Stroke Prevention - Anticoagulants,Approved,Bayer / Janssen,Direct oral anticoagulant (Factor Xa inhibitor),Stroke prevention in AF
dabigatran,Dabigatran (Pradaxa),Drug,Stroke Prevention - Anticoagulants,Approved,Boehringer Ingelheim,Direct oral anticoagulant (direct thrombin inhibitor),Stroke prevention in AF
edoxaban,Edoxaban (Savaysa),Drug,Stroke Prevention - Anticoagulants,Approved,Daiichi Sankyo,Direct oral anticoagulant (Factor Xa inhibitor),Stroke prevention in AF
warfarin,Warfarin,Drug,Stroke Prevention - Anticoagulants,Approved,Generic,Vitamin K antagonist,Stroke prevention in AF
tecarfarin,Tecarfarin,Drug,Stroke Prevention - Anticoagulants,Late-stage (ESKD + AF planned trial),Cadrenal Therapeutics,Vitamin K antagonist (VKA),Anticoagulation in ESKD + AF; stroke/systemic thromboembolism prevention
adx-626,ADX-626,Drug,Stroke Prevention - FXI Inhibitors,Phase 1,ADARx Pharmaceuticals,siRNA targeting Factor XI,Thrombotic diseases including AF stroke prevention
procase-ab002,proCase (AB002),Drug,Stroke Prevention - Novel Antithrombotics,Phase 2,Aronora (royalties held by XOMA),Thrombin analog (protein C pathway activator),Acute cardiovascular thrombosis; potential anticoagulation applications
compound-006,Compound-006,Drug,Stroke Prevention - Novel Antithrombotics,Preclinical,Protheragen,NMMHC IIA inhibitor,Arterial thrombosis (preclinical)
compound-011,Compound-011,Drug,Stroke Prevention - Novel Antithrombotics,Preclinical,Protheragen,NMMHC IIA inhibitor,Venous thrombosis (preclinical)
pkn605,PKN605 (aka CKD-510),Drug,Disease Modification - AF Remodeling,Phase 2,Novartis (licensed from Chong Kun Dang),Oral investigational therapy (mechanism not disclosed publicly),Reduction of AF burden; HDAC6 inhibitor licensed from Chong Kun Dang
ve-1902,VE-1902,Drug,Stroke Prevention - Anticoagulants,Phase 1,Verseon,Precision oral anticoagulant (direct thrombin inhibitor),Stroke and heart attack prevention with reduced bleeding risk
ve-2851,VE-2851,Drug,Stroke Prevention - Anticoagulants,Preclinical,Verseon,Precision oral anticoagulant (direct thrombin inhibitor),Stroke and heart attack prevention with reduced bleeding risk
tah3311,TAH3311 (Apixaban ODF),Drug,Stroke Prevention - Anticoagulants,NDA submitted,TAHO Pharmaceuticals,Apixaban oral dissolving film (ODF) formulation,Stroke prevention and thromboembolic disorders (apixaban reformulation)
tah3341,TAH3341 (Apixaban ER Film),Drug,Stroke Prevention - Anticoagulants,Pipeline,TAHO Pharmaceuticals,Apixaban oral extended-release film,Anticoagulation (apixaban reformulation)
kv998083,KV998083,Drug,Stroke Prevention - FXII Inhibitors,Preclinical,KalVista Pharmaceuticals,Oral FXIIa inhibitor,Antithrombotic therapy with reduced bleeding risk
mpi-8,MPI-8 (Macromolecular Polyphosphate Inhibitor 8),Drug,Stroke Prevention - Novel Antithrombotics,Preclinical,Academic (University of Michigan / UBC),Polyphosphate inhibitor (targets platelet polyP),Antithrombotic therapy with reduced bleeding risk
amiodarone,Amiodarone,Drug,Rhythm Control - Antiarrhythmic Drugs,Approved,Generic,Class III antiarrhythmic (multi-channel blocker),Rhythm control in AF
dronedarone,Dronedarone (Multaq),Drug,Rhythm Control - Antiarrhythmic Drugs,Approved,Sanofi,Class III antiarrhythmic,Rhythm control in AF
ap31969,AP31969,Drug,Rhythm Control - Antiarrhythmic Drugs,Phase 2,Acesion Pharma,Oral SK ion channel inhibitor,Rhythm control in AF; reduction in AF burden
